,title,watch_date,intro,url,rating
20,"记忆大师
                             / 记忆战 / 催眠大师2",2022-06-02,2017-04-23(北京电影节) / 2017-04-28(中国大陆) / 黄渤 / 段奕宏 / 徐静蕾 / 杨子姗 / 梁杰理 / 许玮甯 / 王真儿 / 焦刚 / 张隽溢 / 杜函梦 / 栾元晖 / 曹英睿 / 何禄 / 约恩·奥布赖恩 / 赵慧仙 / 胡明 / 邵胜杰 / 靳锦 / 常进 / 阿尼莎·沙阿 / 吴玉芳 / 杨凯迪 / 许薇 / 高叶 / 郑楚一 / 孟宇 / 王瑶 / 郑小毛 / 郑奇 / 李燕生 / 杜翊 / 蒙西乍·布涅西迪索邦 / 许芳铱 / 帕尔集拉·莱尔达韦威德 / 中国大陆 / 陈正道 / 119分钟 / 悬疑 / 惊悚 / 任鹏 Peng Ren / 陈正道 Leste Chen / 汉语普通话,https://movie.douban.com/subject/25884801/,2
21,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels
                             / 够姜四小强(港) / 两根枪管(台)",2022-06-01,1998-08-28(英国) / 杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰 / 杰森·斯坦森 / 斯蒂文·麦金托什 / 斯汀 / 维尼·琼斯 / 维克多·麦奎尔 / 安德鲁·蒂曼 / 马修·沃恩 / 薇拉·黛 / 弗兰克·哈珀 / 杰克·亚伯拉罕 / 史蒂夫·斯威尼 / 罗尼·福克斯 / 丹尼·约翰-儒勒 / 阿兰·福德 / 瓦斯·布莱克伍德 / Lenny McLean / 尼古拉斯·罗尔 / P.H.莫里亚蒂 / 斯蒂芬·马库斯 / 罗伯·布莱顿 / 英国 / 盖·里奇 / 107分钟 / 115分钟(导演剪辑版) / 两杆大烟枪 / 剧情 / 喜剧 / 犯罪 / Guy Ritchie / 英语,https://movie.douban.com/subject/1293350/,5
22,"源代码 / Source Code
                             / 启动原始码(台) / 危机解密(港)",2022-05-31,2011-03-11(西南偏南电影节) / 2011-04-01(美国) / 2011-08-30(中国大陆) / 杰克·吉伦哈尔 / 维拉·法米加 / 米歇尔·莫纳汉 / 杰弗里·怀特 / 拉塞尔·皮特斯 / 詹姆斯·A·伍兹 / 迈克尔·阿登 / 乔·柯布登  / 卡斯·安瓦尔 / 波拉琴希克森 / 克雷格·汤姆斯 / 斯科特·巴库拉 / 贾森·芬尼 / 凯尔·盖特豪斯 / 美国 / 加拿大 / 邓肯·琼斯 / 93分钟 / 源代码 / 科幻 / 悬疑 / 惊悚 / 本·雷普利 Ben Ripley / 英语,https://movie.douban.com/subject/3075287/,4
23,"巴黎，我爱你 / Paris, je t'aime
                             / 我爱巴黎(港) / Paris, I Love You",2022-05-31,2006-05-18(戛纳电影节) / 2006-06-21(法国) / 朱丽叶·比诺什 / 威廉·达福 / 娜塔莉·波特曼 / 加斯帕德·尤利尔 / 热拉尔·德帕迪约 / 玛吉·吉伦哈尔 / 伊利亚·伍德 / 欧嘉·柯瑞兰寇 / 亚历山大·佩恩 / 李昕 / 伊里斯·麦康利 / 莱拉·贝蒂 / 塞瑞尔·戴思科斯 / 布鲁诺·波达里德斯 / 史蒂夫·布西密 / 芬妮·阿尔丹 / 奥利弗·施米茨 / 露德温·塞尼耶 / 玛格·马丁戴尔 / 蕾欧诺·瓦特林 / 梅尔基奥尔·德鲁埃 / 莱昂内尔·德雷 / 大卫·休莱特 / 韦斯·克雷文 / 友兰达·梦露 / 艾米莉·莫迪默 / 卢夫斯·塞维尔 / 卡塔琳娜·桑地诺·莫雷诺 / 艾米丽·欧哈娜 / 吉娜·罗兰兹 / 本·戈扎那 / 尼诺·柯塔德泽 / 尼克·诺特 / 沃尔里德·阿非基尔 / 法国 / 列支敦士登 / 瑞士 / 德国 / 美国 / 奥利维耶·阿萨亚斯 / 伊桑·科恩 / 乔尔·科恩 / 格斯·范·桑特 / 汤姆·提克威 / 沃尔特·塞勒斯 / 亚历山大·佩恩 / 杜可风 / 热拉尔·德帕迪约 / 阿方索·卡隆 / 诹访敦彦 / 希尔万·肖默 / 韦斯·克雷文 / 伊莎贝尔·科赛特 / 顾伦德·查达哈 / 文森佐·纳塔利 / 理查德·拉·格拉文斯 / 奥利弗·施米茨 / 埃曼纽·本比 / 布鲁诺·波达里德斯 / 丹妮拉·托马斯 / 120 分钟 / 巴黎，我爱你 / 剧情 / 喜剧 / 爱情 / 格斯·范·桑特 Gus Van Sant / 伊桑·科恩 Ethan Coen / 乔尔·科恩 Joel Coen / 杜可风 Christopher Doyle / 阿方索·卡隆 Alfonso Cuarón / 奥利维耶·阿萨亚斯 Olivier Assayas / 汤姆·提克威 Tom Tykwer / 亚历山大·佩恩 Alexander Payne / 诹访敦彦 Nobuhiro Suwa / 西维亚·乔迈 Sylvain Chomet / 韦斯·克雷文 Wes Craven / 英语 / 法语 / 西班牙语 / 汉语普通话 / 阿拉伯语,https://movie.douban.com/subject/1783772/,5
24,"还有明天 / 내일
                             / 明日 / 明天",2022-05-31,2022-04-01(韩国) / 金喜善 / 金路云 / 李洙赫 / 尹志温 / 金海淑 / 金英玉 / 金兴来 / 全光镇 / 金施恩 / 韩国 / 金兑玧 / 60分钟 / 还有明天 / 剧情 / 奇幻 / 朴兰 Park Ran / 김유진 / 韩语,https://movie.douban.com/subject/35426372/,2
25,"搜索 / 써치
                             / Search",2022-05-31,2020-10-17(韩国) / 郑秀晶 / 张东润 / 文晶熙 / 尹博 / 李铉旭 / 崔德门 / 崔伦齐 / 金仁宇 / 朴多妍 / 李京民 / 车智赫 / 延宇振 / 韩相祖 / 韩国 / program.tving.com/ocn/search / 林大雄 / 60分钟 / 搜索 / 惊悚 / Go Myeong-joo  고명주 / 具穆 Goo Mo / 韩语,https://movie.douban.com/subject/34926442/,2
26,"绿色妈咪会 / 그린 마더스 클럽
                             / 绿妈妈俱乐部 / Green Mothers Club",2022-05-26,2022-04-06(韩国) / 李枖原 / 秋瓷炫 / 金圭丽 / 张慧珍 / 周敏京 / 李善熙 / 朴娜恩 / 沈昭英 / 韩国 / 68分钟 / 绿色妈咪会 / 剧情 / 韩语,https://movie.douban.com/subject/35472106/,2
27,"闪亮女孩 / Shining Girls
                             / 我会回来找你 / 闪灵女孩",2022-05-23,2022-04-29(美国) / 伊丽莎白·莫斯 / 杰米·贝尔 / 瓦格纳·马拉 / 菲莉帕·苏 / 玛德琳·布鲁尔 / 克里斯托弗·邓汉 / 克里斯·乔克 / 艾米·布伦尼曼 / 乌尔里奇·汤姆森 / 迈根汉·杰拉基斯 / 埃里卡·亚历山大 / 亚历克斯·古德里奇 / 朱利安·奥夫拉多斯 / 凯伦·罗德里格斯 / 玛德琳·贝尔德 / 萨迪尔·里法伊 / 克里斯·梅斯特 / 迪安娜·里德-福斯特 / 杰森·威尔斯 / 凯文·古达尔 / 奈特·伯格 / 塔姆森·格拉瑟 / 马克·格拉佩 / Richard Cotovsky / 布赖恩·伯兰德 / 汉娜·德沃金 / 艾尔·贾里尔·麦基 / 安琪尔·佩德拉萨 / 吉奥塔·特拉卡斯 / 美国 / 米歇尔·麦克拉伦 / 戴纳·里德 / 伊丽莎白·莫斯 / 我会回来找你 / 55分钟 / 闪亮女孩 / 科幻 / 悬疑 / 惊悚 / 西尔卡·露易莎 / Alan Page / Katrina Albright Katrina Albright / Kirsa Rein Kirsa Rein / 纳莱迪·杰克逊 Naledi Jackson / 罗伦·布克斯 Lauren Beukes / 英语,https://movie.douban.com/subject/25930137/,5
28,"瞬息全宇宙 / Everything Everywhere All at Once
                             / 妈的多重宇宙(台) / 奇异女侠玩救宇宙(港)",2022-05-19,2022-03-11(西南偏南电影节) / 2022-03-25(美国) / 杨紫琼 / 许玮伦 / 关继威 / 吴汉章 / 杰米·李·柯蒂斯 / 塔丽·梅德尔 / 珍妮·斯蕾特 / 岑勇康 / 比夫·威夫 / 黎唯 / 黎明 / 李静 / 苏妮特·玛尼 / 阿隆·拉扎尔 / 切尔西·戈德史密斯 / 克雷格·亨宁森 / 安东尼·莫利纳利 / 丹·布朗 / 帕努瓦特·安东尼·纳纳肯帕诺姆 / 卡拉·玛丽·乔尔简 / 兰达尔·阿切尔 / 埃夫卡·科瓦拉西尤斯 / 奥德丽·瓦西莱夫斯基 / 布恩·平考 / 蒂莫西·尤里齐 / 丹尼尔·施纳特 / 西协美智子 / 蒂莫西·斯科特·拉尔斯顿 / 兰迪·纽曼 / 纳拉亚纳·卡布拉尔 / D.Y. Sao / 关家永 / 美国 / 关家永 / 丹尼尔·施纳特 / 139分钟 / 瞬息全宇宙 / 喜剧 / 奇幻 / 冒险 / 丹·关 Dan Kwan / 丹尼尔·施纳特 Daniel Scheinert / 英语 / 汉语普通话 / 粤语,https://movie.douban.com/subject/30314848/,5
29,三十九 / 서른，아홉,2022-05-05,2022-02-16(韩国) / 孙艺珍 / 田美都 / 延宇振 / 金智贤 / 安昭熙 / 徐智英 / 姜末琴 / 李茂生 / 全光镇 / 吴世英 / 李泰焕 / 河善好 / 韩国 / 金尚浩 / 60分钟 / 三十九 / 爱情 / 刘英雅 Yeong-ah Yoo / 韩语,https://movie.douban.com/subject/35391190/,4
